239,Mallee Emuwren
240,Purple-backed Fairywren
241,Splendid Fairywren
242,Superb Fairywren
243,White-winged Fairywren
244,Eastern Spinebill
245,Pied Honeyeater
246,Lewin's Honeyeater
247,White-fronted Honeyeater
248,Yellow-faced Honeyeater
249,Yellow-tufted Honeyeater
250,Purple-gaped Honeyeater
251,Bell Miner
252,Noisy Miner
253,Yellow-throated Miner
254,Spiny-cheeked Honeyeater
255,Little Wattlebird
256,Red Wattlebird
257,Regent Honeyeater
258,Singing Honeyeater
259,Yellow-plumed Honeyeater
260,White-plumed Honeyeater
261,Fuscous Honeyeater
262,Orange Chat
263,White-fronted Chat
264,Black Honeyeater
265,Scarlet Honeyeater
266,Tawny-crowned Honeyeater
267,Crescent Honeyeater
268,New Holland Honeyeater
269,White-eared Honeyeater
270,Blue-faced Honeyeater
271,White-naped Honeyeater
272,Brown-headed Honeyeater
273,Black-chinned Honeyeater
274,Striped Honeyeater
275,Painted Honeyeater
276,Noisy Friarbird
277,Eastern Bristlebird
278,Rufous Bristlebird
279,Spotted Pardalote
280,Striated Pardalote
281,Pilotbird
282,White-browed Scrubwren
283,Large-billed Scrubwren
284,Redthroat
285,Speckled Warbler
286,Rufous Fieldwren
287,Striated Fieldwren
288,Chestnut-rumped Heathwren
289,Shy Heathwren
290,Buff-rumped Thornbill
291,Slender-billed Thornbill
292,Brown Thornbill
293,Inland Thornbill
294,Yellow-rumped Thornbill
295,Chestnut-rumped Thornbill
296,Yellow Thornbill
297,Striated Thornbill
298,Weebill
299,White-throated Gerygone
300,Brown Gerygone
301,Western Gerygone
302,Southern Whiteface
303,Grey-crowned Babbler
304,White-browed Babbler
305,Chestnut-crowned Babbler
306,Spotted Quailthrush
307,Chestnut Quailthrush
308,Black-faced Cuckooshrike
309,White-bellied Cuckooshrike
310,White-winged Triller
311,Common Cicadabird
312,Varied Sittella
313,Eastern Whipbird
314,Crested Bellbird
315,Crested Shriketit
316,Grey Shrikethrush
317,Olive Whistler
318,Red-lored Whistler
319,Gilbert's Whistler
320,Golden Whistler
321,Western Whistler
322,Rufous Whistler
323,Olive-backed Oriole
324,Australasian Figbird
325,White-breasted Woodswallow
326,Masked Woodswallow
327,White-browed Woodswallow
328,Black-faced Woodswallow
329,Dusky Woodswallow
330,Grey Butcherbird
331,Pied Butcherbird
332,Australian Magpie
333,Pied Currawong
334,Grey Currawong
335,Willie Wagtail
336,Rufous Fantail
337,Grey Fantail
