238,White-winged Fairywren
239,Eastern Spinebill
240,Lewin's Honeyeater
241,White-fronted Honeyeater
242,Yellow-faced Honeyeater
243,Yellow-tufted Honeyeater
244,Purple-gaped Honeyeater
245,Bell Miner
246,Noisy Miner
247,Yellow-throated Miner
248,Spiny-cheeked Honeyeater
249,Little Wattlebird
250,Red Wattlebird
251,Singing Honeyeater
252,Yellow-plumed Honeyeater
253,White-plumed Honeyeater
254,Fuscous Honeyeater
255,Crimson Chat
256,Orange Chat
257,White-fronted Chat
258,Black Honeyeater
259,Scarlet Honeyeater
260,Tawny-crowned Honeyeater
261,Crescent Honeyeater
262,New Holland Honeyeater
263,White-cheeked Honeyeater
264,White-eared Honeyeater
265,Blue-faced Honeyeater
266,White-naped Honeyeater
267,Brown-headed Honeyeater
268,Black-chinned Honeyeater
269,Striped Honeyeater
270,Painted Honeyeater
271,Little Friarbird
272,Noisy Friarbird
273,Eastern Bristlebird
274,Rufous Bristlebird
275,Spotted Pardalote
276,Striated Pardalote
277,Pilotbird
278,White-browed Scrubwren
279,Large-billed Scrubwren
280,Redthroat
281,Speckled Warbler
282,Rufous Fieldwren
283,Striated Fieldwren
284,Chestnut-rumped Heathwren
285,Shy Heathwren
286,Buff-rumped Thornbill
287,Slender-billed Thornbill
288,Brown Thornbill
289,Inland Thornbill
290,Yellow-rumped Thornbill
291,Chestnut-rumped Thornbill
292,Yellow Thornbill
293,Striated Thornbill
294,Weebill
295,White-throated Gerygone
296,Brown Gerygone
297,Western Gerygone
298,Southern Whiteface
299,Grey-crowned Babbler
300,White-browed Babbler
301,Chestnut-crowned Babbler
302,Spotted Quailthrush
303,Chestnut Quailthrush
304,Ground Cuckooshrike
305,Black-faced Cuckooshrike
306,White-bellied Cuckooshrike
307,White-winged Triller
308,Common Cicadabird
309,Varied Sittella
310,Eastern Whipbird
311,Crested Bellbird
312,Crested Shriketit
313,Grey Shrikethrush
314,Olive Whistler
315,Red-lored Whistler
316,Gilbert's Whistler
317,Golden Whistler
318,Western Whistler
319,Rufous Whistler
320,Olive-backed Oriole
321,Australasian Figbird
322,White-breasted Woodswallow
323,Masked Woodswallow
324,White-browed Woodswallow
325,Black-faced Woodswallow
326,Dusky Woodswallow
327,Grey Butcherbird
328,Pied Butcherbird
329,Australian Magpie
330,Pied Currawong
331,Grey Currawong
332,Willie Wagtail
333,Rufous Fantail
334,Grey Fantail
335,Spangled Drongo
336,Black-faced Monarch
337,Spectacled Monarch
338,Magpie-lark
339,Leaden Flycatcher
340,Satin Flycatcher
341,Restless Flycatcher
342,White-winged Chough
343,Apostlebird
344,Little Crow
345,Australian Raven
